store_id,name,address,suburb,chain?,website_url,phone_number,lat,lng,apportioned_pop,pop_density_per_sqkm
STR_0132,Puppuccino Pet Spa Darling Square,NW01/2 Steam Mill La,Haymarket,True,http://www.puppuccino.com.au/,0439 090 414,-33.8784017,151.2013247,201765.48248841832,7135.99
STR_0133,Pet ID Tag,Paddington NSW 2021,Paddington,True,http://petidtag.com.au/,0411 556 700,-33.8847673,151.2261939,191468.35094768764,6771.81
STR_0134,Broadway,Shop LG10/1 Bay Street,Glebe,True,https://www.petstock.com.au/store/petstock-broadway-2094?utm_term=plcid_554217230355441280,(02) 9211 4840,-33.883857,151.1942103,220372.39550953047,7794.08
STR_0135,Pet Vista,Shop R1.05/13 Hay St,Haymarket,True,,0405 810 729,-33.8800089,151.2035622,205207.6548613875,7257.74
STR_0136,Paw4Friends,89 Crown St,Darlinghurst,True,https://paw4friends.com/,0432 902 875,-33.8746423,151.2160498,170554.10194396743,6032.12
STR_0137,Petbarn Surry Hills,37/51 Foveaux St,Surry Hills,True,https://www.petbarn.com.au/store-finder/surry-hills?utm_content=local_seo,(02) 8365 6733,-33.8840788,151.209376,211473.8323023194,7479.36
STR_0138,Paddo Pets,Paddington NSW 2021,Paddington,True,,0473 802 021,-33.8850215,151.2262353,192293.22932443375,6800.98
STR_0139,Ragdoll Kittens Cattery,80 Shelley St,Sydney,True,https://691e6b61d39a2.site123.me/#section-112,,-33.8685198,151.2027301,170803.14770217062,6040.93
STR_0140,Pets Point,Shop 5/47 Elizabeth Bay Rd,Elizabeth Bay,True,http://www.shoppetspoint.com.au/,0405 422 214,-33.8720745,151.227821,137139.66652064846,4850.32
STR_0141,The Pet House,Pemulwuy Loop,Winston Hills,True,,0434 042 599,-33.8851553,151.2088577,215948.05680196808,7637.6
STR_0142,Pipo Pet,shop 103/18 Park Ln,Chippendale,True,,0414 051 688,-33.8857216,151.2011604,225076.53898579985,7960.45
STR_0143,Petbarn Paddington,354 Oxford St,Paddington,True,https://www.petbarn.com.au/store-finder/paddington?utm_content=local_seo,(02) 9184 5222,-33.8863591,151.2297082,191306.57650461473,6766.09
STR_0144,Cuddle Crew Australia,138 Riley St,Darlinghurst,True,http://www.cuddlecrew.com.au/,,-33.8770277,151.2148913,177530.9575876539,6278.87
STR_0145,The Postmodern Pet,22 Caldwell St,Darlinghurst,True,,0447 373 730,-33.8768737,151.2225018,166660.9118762153,5894.42
STR_0146,Pets On The Point,325 Glebe Point Rd,Glebe,True,http://www.petsonthepoint.com.au/,(02) 9660 0011,-33.8775206,151.1853964,198106.7111819946,7006.59
STR_0147,Pet Circle Head Office,Level 7/9 Castlereagh St,Sydney,True,https://www.petcircle.com.au/?utm_source=organic&utm_medium=google&utm_campaign=gmb,,-33.8666739,151.2096645,157130.57770362447,5557.36
STR_0148,Petbarn Potts Point,46A Macleay St,Potts Point,True,https://www.petbarn.com.au/store-finder/potts-point?utm_content=local_seo,(02) 9184 6333,-33.8712703,151.2254547,141544.9935555666,5006.13
STR_0149,Pet Influencer,123 Liverpool St,Sydney,True,,0404 788 072,-33.877016,151.207261,190404.4213816862,6734.18
STR_0150,Petbarn Glebe,90 Glebe Point Rd,Glebe,True,https://www.petbarn.com.au/store-finder/glebe,(02) 9123 4234,-33.8823708,151.1896948,219072.30932363728,7748.1
STR_0151,Yorkie Puppies for Adoption Australia,822 George St,Chippendale,True,https://yorkiepuppiesheaven.nicepage.io/,0417 767 344,-33.8842399,151.2026402,220633.10651084752,7803.3
STR_0152,Puppuccino Pet Spa Darling Square,NW01/2 Steam Mill La,Haymarket,True,http://www.puppuccino.com.au/,0439 090 414,-33.8784017,151.2013247,201765.48248841832,7135.99
STR_0153,Sydney City Aquarium,Level 202/541 Kent St,Sydney,True,https://sydneycityaquarium.com/,0412 150 123,-33.8757418,151.2053384,187818.05964533403,6642.71
STR_0154,Leadr Pet,58 City Rd,Chippendale,True,https://leadrpet.com/,1300 168 340,-33.88648939999999,151.1942854,218961.26757082116,7744.17
STR_0155,LUX4PETZ,9 Castlereagh St,Sydney,True,https://lux4petz.com/,,-33.8666739,151.2096645,157130.57770362447,5557.36
